,symbol,price,market cap,exchange,currency,sector,industry,company_url
2907,KRYS,84.39,78.48,NasdaqGM,USD,Healthcare,Biotechnology,https://www.krystalbio.com
2908,KSBI,49.00,49.00,Other OTC,USD,Financial Services,Banks—Regional,https://www.ksbankinc.com
2909,KULR,0.8200,0.7943,NYSE American,USD,Technology,Electronic Components,https://www.kulrtechnology.com
2910,KURA,12.39,11.94,NasdaqGS,USD,Healthcare,Biotechnology,https://kuraoncology.com
2911,KC,8.12,8.49,NasdaqGS,USD,Technology,Software—Application,https://www.ksyun.com
2912,KVHI,11.47,11.38,NasdaqGS,USD,Technology,Communication Equipment,https://www.kvh.com
2913,ORN,2.5600,2.5500,NYSE,USD,Industrials,Engineering & Construction,https://www.oriongroupholdingsinc.com
2914,LZB,27.90,28.17,NYSE,USD,Consumer Cyclical,"Furnishings, Fixtures & Appliances",https://www.la-z-boy.com
2915,LTNC,0.0004,0.0004,Other OTC,USD,Services,Staffing & Outsourcing Services,https://www.laborsmart.com
2916,LH,232.18,234.01,NYSE,USD,Healthcare,Diagnostics & Research,https://www.labcorp.com
2917,LAB,1.7900,1.7300,NasdaqGS,USD,Healthcare,Diagnostics & Research,https://www.fluidigm.com
2918,LIFZF,23.23,22.92,Other OTC,USD,Basic Materials,Steel,https://labradorironore.com
2919,LADR,9.17,9.15,NYSE,USD,Real Estate,REIT—Mortgage,https://www.laddercapital.com
2920,LSBK,9.66,10.00,NasdaqGM,USD,Financial Services,Banks—Regional,https://lakeshoresavings.com
2921,LBAI,14.98,14.72,NasdaqGS,USD,Financial Services,Banks—Regional,https://www.lakelandbank.com
2922,LKFN,60.04,59.98,NasdaqGS,USD,Financial Services,Banks—Regional,https://www.lakecitybank.com
2923,LAKE,14.57,14.48,NasdaqGM,USD,Consumer Cyclical,Apparel Manufacturing,https://www.lakeland.com
2924,LRCX,493.79,493.48,NasdaqGS,USD,Technology,Semiconductor Equipment & Materials,https://www.lamresearch.com
2925,LAMR,98.02,97.59,NasdaqGS,USD,Real Estate,REIT—Specialty,https://www.lamar.com
2926,LW,106.86,104.17,NYSE,USD,Consumer Defensive,Packaged Foods,https://www.lambweston.com
2927,LLLI,0.0072,0.0079,Other OTC,USD,Industrials,Aerospace & Defense,https://lamperdlesslethal.com
2928,LANC,200.45,201.23,NasdaqGS,USD,Consumer Defensive,Packaged Foods,https://www.lancastercolony.com
2929,LANZ,0.1000,0.1000,Other OTC,USD,Healthcare,Medical Instruments & Supplies,https://www.lancerortho.com
2930,LAND,16.79,16.58,NasdaqGM,USD,Real Estate,REIT—Specialty,https://www.gladstonefarms.com
2931,LARK,20.67,20.89,NasdaqGM,USD,Financial Services,Banks—Regional,https://www.banklandmark.com
2932,LSTR,173.79,176.09,NasdaqGS,USD,Industrials,Integrated Freight & Logistics,https://www.landstar.com
2933,LCI,0.9205,0.9539,NYSE,USD,Healthcare,Drug Manufacturers—Specialty & Generic,https://www.lannett.com
2934,LNTH,83.10,83.50,NasdaqGM,USD,Healthcare,Drug Manufacturers—Specialty & Generic,https://www.lantheus.com
2935,LTRX,4.4000,4.2800,NasdaqCM,USD,Technology,Communication Equipment,https://www.lantronix.com
2936,LMRXF,0.2882,0.2862,Other OTC,USD,Basic Materials,Other Industrial Metals & Mining,https://laramide.com
2937,LRDC,0.0780,0.0600,Other OTC,USD,Energy,Oil & Gas E&P,https://www.laredo-oil.com
